sitio,imperdible,tipo_atractivo,direccion,barrio,comuna,latitud,longitud
"Aeroparque Parque Juan Pablo II","NO","Parque temático y recreativo","CR 70 No. 16 - 04","Parque Juan Pablo II","15","6.22229004","-75.59167481"
"Aeropuerto Enrique Olaya Herrera","NO","Aeropuerto de pasajeros","CR 65 A No. 13 - 157","Parque Juan Pablo II","15","6.21887207","-75.58947754"
"Barrio Prado","NO","Sector urbano o rural de interés","CR 50 No. 62-99","Prado","10","6.25952148","-75.56182861"
"Basílica Menor Nuestra Señora de la Candelaria","NO","Basílica","CR 49 a No. 50 - 85","La Candelaria","10","6.25012207","-75.56750488"
"Bulevar Libertadores de América","NO","Sector urbano o rural de interés","CR 70 entre la CL 47D y circular 1A","Florida Nueva","11","6.25128174","-75.58831787"
"Calle de la Buena Mesa","NO","Sector urbano o rural de interés","CR 43 b con CL 10 a","Manila","14","6.21228027","-75.57067871"
"Casa de la Lectura Infantil","NO","Sala múltiple","CL 51 No. 45 - 57","La Candelaria","10","6.24871826","-75.56420898"
"Casa de Música El Jordán","NO","Otro","CL 65 No. 84 - 17","Robledo","7","6.27508545","-75.59527588"
"Casa Museo Maestro Pedro Nel Gómez","NO","Museo","CR 51 B No. 85-24","Aranjuez","4","6.27850342","-75.5625"
"Catedral Basílica Metropolitana de la Inmaculada Concepción de María","SI","Catedral","CR 48 No. 56 - 81","Villa Nueva","10","6.25408936","-75.56378174"
"Cementerio San Lorenzo","NO","Cementerio","CL 43 No. 43-77","Las Palmas","10","6.24169922","-75.56610107"
"Centro Administrativo José María Córdoba","NO","Centro administrativo","CL 42 B No. 52 -106","Centro Administrativo","10","6.24450684","-75.57348633"
"Centro Comercial Palacio Nacional","NO","Edificación comercial","CR 52 No. 48-45","La Candelaria","10","6.24890137","-75.5703125"
"Centro de Desarrollo Cultural de Moravia","NO","Centro de formación cultural","CL 82 A No. 52 - 25","Moravia","4","6.27648926","-75.56469727"
"Centro de Espectáculos La Macarena","NO","Plaza de toros","CR 63 No.44 a - 65","Naranjal","11","6.24969482","-75.58050537"
"Cerro Pan de Azúcar","NO","Cerro","","Piedras Blancas - Matasano","90","6.24707031","-75.53527832"
"Complejo Arquitectónico Claustro San Ignacio","NO","Claustro","CR 44 No. 48-18","La Candelaria","10","6.24627686","-75.56420898"
"Conjunto de Esculturas de Botero","NO","Escultura","CR 52 con CL 52","La Candelaria","10","6.25231934","-75.56817627"
"Ecoparque Cerro Picacho","NO","Cerro","","El Picacho","60","6.30407715","-75.58850098"
"Edificio Antigua Estación Medellín","NO","Estación de ferrocarril","CR 52 No. 43 – 31","Centro Administrativo","10","6.24468994","-75.57189941"
"Edificio Carré","NO","Centro administrativo","CR 52 No. 44 – 31","Guayaquil","10","6.24591064","-75.57122803"
"Edificio Coltejer","NO","Edificación comercial","CL 52 No. 47 - 42","La Candelaria","10","6.25012207","-75.565979"
"Edificio Inteligente Empresas Públicas de Medellín","NO","Otro","CR 58 No. 42 - 125","La Alpujarra","10","6.2454834","-75.57769775"
